Name,Halo Model,arXiv,Abbr,rhos [GeV/cm3],rs [kpc],alpha,beta,gamma,alphaE,rc
Bootes I,Bkrt,1309.2641,Boo I,0.5294967184595464,0.957556937553236,,,,,
Bootes I,Enst,1309.2641,Boo I,0.0199371669233052,1.703545780642007,,,,0.1455604075691411,
Bootes I,HDZ,1408.0002,Boo I,0.6984353363268164,6.2863708841304975,1.9616,5.9144,0.5282,,
Bootes I,NFW,1309.2641,Boo I,0.141816025394607,1.2734224467318156,1.0,3.0,1.0,,
Bootes I,cNFW,1309.2641,Boo I,0.3865458488992216,1.0611000444151786,,,,,0.4244400177660714
Canes Venatici I,Bkrt,1309.2641,CVn I,0.5174439016526282,0.9798613039080462,,,,,
Canes Venatici I,Enst,1309.2641,CVn I,0.0228909304053807,1.5536522172845353,,,,0.1455604075691411,
Canes Venatici I,HDZ,1408.0002,CVn I,0.5183537010574804,2.2651658212545955,1.8638,5.9969,0.6714,,
Canes Venatici I,NFW,1309.2641,CVn I,0.2003204602990564,1.0350766246719718,1.0,3.0,1.0,,
Canes Venatici I,cNFW,1309.2641,CVn I,0.4337115758987452,0.9902761800263432,,,,,0.3961104720105373
Canes Venatici II,Bkrt,1309.2641,CVn II,0.8992144411232479,0.6778983972485987,,,,,
Canes Venatici II,Enst,1309.2641,CVn II,0.0281619968125796,1.3223725002683313,,,,0.1455604075691411,
Canes Venatici II,HDZ,1408.0002,CVn II,1.3311475701780289,8.042665380156771,1.9159,6.091,0.4264,,
Canes Venatici II,NFW,1309.2641,CVn II,0.240838164943745,0.8809930877124397,1.0,3.0,1.0,,
Canes Venatici II,cNFW,1309.2641,CVn II,0.598688634746748,0.7866043299698301,,,,,0.314641731987932
Carina,Bkrt,1309.2641,Car,0.9635256332120048,0.6624675458176189,,,,,
Carina,Enst,1309.2641,Car,0.0223698692144472,1.483726348762496,,,,0.1455604075691411,
Carina,HDZ,1408.0002,Car,0.416223123255953,2.042208126334635,1.4671,5.598,0.9528,,
Carina,NFW,1309.2641,Car,0.2003204602990564,0.9659897116295508,1.0,3.0,1.0,,
Carina,cNFW,1309.2641,Car,0.6564490342785402,0.7512013032535471,,,,,0.3004805213014188
Coma Berenices,Bkrt,1309.2641,Com,1.1584126006530155,0.5769851119347077,,,,,
Coma Berenices,Enst,1309.2641,Com,0.0308790154648474,1.2341098231310903,,,,0.1455604075691411,
Coma Berenices,HDZ,1408.0002,Com,3.8987573253157657,5.133339643802892,1.9942,6.444,0.43,,
Coma Berenices,HDZ,1706.05481,Com,19.79411067422312,0.1862087136662867,2.87,6.79,0.178,,
Coma Berenices,NFW,1309.2641,Com,0.2521885179727868,0.8609392367173833,1.0,3.0,1.0,,
Coma Berenices,cNFW,1309.2641,Com,0.789225327052036,0.669508866252016,,,,,0.2678035465008064
Draco,Bkrt,1309.2641,Dra,0.2909800893670036,1.416330498483652,,,,,
Draco,Enst,1309.2641,Dra,0.014779626022772,2.194592088200795,,,,0.1455604075691411,
Draco,HDZ,1408.0002,Dra,0.6979530408867842,3.697430334980972,2.0097,6.3362,0.7054,,
Draco,HDZ,1608.01749 I,Dra,0.3384823240151368,9.120108393559097,2.78,7.78,0.675,,
Draco,HDZ,1608.01749 II,Dra,1.1469275744894512,1.4125375446227544,2.77,3.18,0.783,,
Draco,NFW,1309.2641,Dra,0.1027366285107613,1.6404858961182354,1.0,3.0,1.0,,
Draco,cNFW,1309.2641,Dra,0.2329169067114763,1.4988436513373116,,,,,0.5995374605349246
Fornax,Bkrt,1309.2641,For,0.1713417794585623,1.9550803335839928,,,,,
Fornax,Enst,1309.2641,For,0.0089056053386153,2.893035808653276,,,,0.1455604075691411,
Fornax,HDZ,1408.0002,For,1.2343155598173523,1.2413664394960409,2.1292,6.966,0.6139,,
Fornax,NFW,1309.2641,For,0.0577730518223301,2.2129545832786066,1.0,3.0,1.0,,
Fornax,cNFW,1309.2641,For,0.1167349801397463,2.216952217245681,,,,,0.8867808868982725
Hercules,Bkrt,1309.2641,Her,1.0324363170779522,0.6326515947356419,,,,,
Hercules,Enst,1309.2641,Her,0.0294892308325705,1.2922716272306114,,,,0.1455604075691411,
Hercules,HDZ,1408.0002,Her,0.9105969760597984,0.850942078987996,1.8083,6.3907,0.5447,,
Hercules,NFW,1309.2641,Her,0.2299986619522842,0.9225130127792058,1.0,3.0,1.0,,
Hercules,cNFW,1309.2641,Her,0.7537043360350372,0.7010618470256775,,,,,0.280424738810271
Leo I,Bkrt,1309.2641,Leo I,0.2977578863424824,1.3840908802931222,,,,,
Leo I,Enst,1309.2641,Leo I,0.012293157476188,2.351547789628864,,,,0.1455604075691411,
Leo I,HDZ,1408.0002,Leo I,0.2492448558829841,6.270468637308514,1.929,6.1508,0.8429,,
Leo I,NFW,1309.2641,Leo I,0.0744261081100609,1.8835298226427108,1.0,3.0,1.0,,
Leo I,cNFW,1309.2641,Leo I,0.1893219695056346,1.6434493831190005,,,,,0.6573797532476002
Leo II,Bkrt,1309.2641,Leo II,0.594105089603942,0.8733023063490014,,,,,
Leo II,Enst,1309.2641,Leo II,0.0158366546075924,1.8679008046056813,,,,0.1455604075691411,
Leo II,HDZ,1408.0002,Leo II,4.551202965659879,0.7805486914662375,1.7622,5.9459,0.8177,,
Leo II,NFW,1309.2641,Leo II,0.1051296720056132,1.428803485355456,1.0,3.0,1.0,,
Leo II,cNFW,1309.2641,Leo II,0.2865503965213501,1.1905738316944632,,,,,0.4762295326777853
Leo IV,Bkrt,1309.2641,Leo IV,0.9201598361590746,0.6778983972485987,,,,,
Leo IV,Enst,1309.2641,Leo IV,0.0275209515016917,1.3531745127093633,,,,0.1455604075691411,
Leo IV,HDZ,1408.0002,Leo IV,0.6078916861115167,0.8778089408463069,1.9266,6.3159,0.5491,,
Leo IV,NFW,1309.2641,Leo IV,0.2299986619522842,0.9225130127792058,1.0,3.0,1.0,,
Leo IV,cNFW,1309.2641,Leo IV,0.6564490342785402,0.7512013032535471,,,,,0.3004805213014188
Leo T,Bkrt,1309.2641,Leo T,0.5418302814353091,0.957556937553236,,,,,
Leo T,Enst,1309.2641,Leo T,0.020876776652649,1.703545780642007,,,,0.1455604075691411,
Leo T,HDZ,1408.0002,Leo T,1.091506191990253,4.439151837895513,1.8838,6.7082,0.6448,,
Leo T,NFW,1309.2641,Leo T,0.1323504156214523,1.3334369977017102,1.0,3.0,1.0,,
Leo T,cNFW,1309.2641,Leo T,0.4047631935129445,1.0369464585603765,,,,,0.4147785834241506
